License Serial Number,License Type Name,License Class Code,License Type Code,Agency Zone Office Number,Agency Zone Office Name,County Name (Licensee),Premises Name,Doing Business As (DBA),Actual Address of Premises (Address1),Additional Address Information (Address2),City,State,ZIP,License Certificate Number,License Received Date
1323165,GROCERY STORE BEER,122,A,1,New York City,KINGS,AZURE GOURMET INC,,113 FRANKLIN ST,,BROOKLYN,NY,11222,,11/12/2019
1323166,RESTAURANT WINE,341,RW,1,New York City,QUEENS,B&K AJI SUSHI HOUSE INC,AJI JAPANESE FUSION CUISINE,36-06 DITMARS BLVD,,ASTORIA ,NY,11105,,11/12/2019
1323169,"GROCERY BEER, WINE PROD",122,AX,1,New York City,NASSAU,MW ALEX CORP,,161 DUBOIS AVE,,VALLEY STREAM,NY,11581,,11/12/2019
1323172,"GROCERY BEER, WINE PROD",122,AX,1,New York City,BRONX,EDWIN DELI GROCERY 1 CORP,,1151 OLMSTEAD AVE,,BRONX,NY,10472,,11/12/2019
1323180,ON-PREMISES LIQUOR,252,OP,1,New York City,NASSAU,RVC EMPANADA CORP,SANGRIA 71,4585 AUSTIN BLVD,,ISLAND PARK,NY,11558,,11/12/2019
1323182,ON-PREMISES LIQUOR,252,OP,1,New York City,NEW YORK,VV&V BROTHERS 623 CORP,GALLO NERO,181 DUANE ST ,,NEW YORK,NY,10013,,11/12/2019
1323184,ON-PREMISES LIQUOR,252,OP,1,New York City,NASSAU,BASILLEAF GRILL CORP,BASIL LEAF GRILL,1019 1021 ATLANTIC AVE,,BALDWIN,NY,11510,,11/12/2019
1323186,ON-PREMISES LIQUOR,252,OP,1,New York City,NEW YORK,MEXICAN BISTRO CORP,,3803 10TH AVE,,NEW YORK,NY,10034,,11/12/2019
1323187,ON-PREMISES LIQUOR,252,OP,1,New York City,NASSAU,MANETTO HILL INC,KUMO SUSHI,18 MANETTO HILL MALL,,PLAINVIEW ,NY,11803,,11/12/2019
1323192,GROCERY STORE BEER,122,A,1,New York City,SUFFOLK,YARY'S DELI 2 CORP,,1425 NEW YORK AVE,,HUNTINGTON STATION,NY,11746,,11/12/2019
1323195,"GROCERY BEER, WINE PROD",122,AX,1,New York City,QUEENS,MANNIX FAMILY MARKET @ HYLAN BLVD LLC,SHOPRITE OF HYLAN BLVD,2600 HYLAN BLVD,,STATEN ISLAND,NY,10306,,11/12/2019
1323197,RESTAURANT WINE,341,RW,1,New York City,QUEENS,DMS PIZZA CORP,THE YARD,29-11 23RD AVE,,ASTORIA,NY,11105,,11/12/2019
1323201,ON-PREMISES LIQUOR,252,OP,1,New York City,NEW YORK,6TH AVE REST MGMT LLC & LT HOSP MGMT INC,SKIRT STEAK,835 AVE OF THE AMERICAS,,NEW YORK,NY,10001,,11/12/2019
3164179,EATING PLACE BEER,141,EB,3,Buffalo,TOMPKINS,TRUMANSBURG MAIN STREET MARKET LLC,MAIN STREET MARKET,21 EAST MAIN ST,,TRUMANSBURG,NY,14886,,11/12/2019
3164181,"GROCERY BEER, WINE PROD",122,AX,3,Buffalo,ERIE,T & D QUICK MART INC,MARATHON,225 GROVER CLEVELAND HIGHWAY,,BUFFALO,NY,14226,,11/12/2019
3164183,"GROCERY BEER, WINE PROD",122,AX,3,Buffalo,ERIE,INNOVATIVE CONVENIENCE INC,NOCO,6257 TRANSIT RD,,DEPEW,NY,14043,,11/12/2019
3164185,"GROCERY BEER, WINE PROD",122,AX,3,Buffalo,MONROE,ALADDIN MINI MART INC,,900 JOSEPH AVE,,ROCHESTER ,NY,14621,,11/12/2019
1323203,RESTAURANT WINE,341,RW,1,New York City,NEW YORK,PHO NEW YORK RESTAURANT INC,,73 MULBERRY ST,,NEW YORK,NY,10013,,11/12/2019
1323208,ON-PREMISES LIQUOR,252,OP,1,New York City,NEW YORK,ASSINIE RESTAURANT LLC,,121 SAINT NICHOLAS AVE,,NEW YORK,NY,10026,,11/12/2019
1323209,RESTAURANT WINE,341,RW,1,New York City,NEW YORK,39 AKURA SUSHI INC,,39 E 31ST ST,,NEW YORK,NY,10016,,11/13/2019
1323212,ON-PREMISES LIQUOR,252,OP,1,New York City,NEW YORK,BOILERY HOSPITALITY INC,BOILERY,235 9TH AVE,,NEW YORK,NY,10001,,11/13/2019
2219548,ON-PREMISES LIQUOR,252,OP,2,Albany,MADISON,BROAD STREET DINER LLC,,10 BROAD ST,,HAMILTON,NY,13346,,11/13/2019
1323215,"GROCERY BEER, WINE PROD",122,AX,1,New York City,KINGS,SKYLINE DELI GOURMET CORP,,9323 CHURCH AVE,,BROOKLYN,NY,11212,,11/13/2019
2219551,ON-PREMISES LIQUOR,252,OP,2,Albany,DUTCHESS,SPINS BOWL WAPPINGERS FALLS LLC,SPINS BOWL,1677 RTE 9,,WAPPINGERS FALLS,NY,12590,,11/13/2019
3164188,FARM BREWER,106,FD,3,Buffalo,ONTARIO,BIRDHOUSE BREWING COMPANY INC,,8716 MAIN ST,,HONEOYE,NY,14471,,11/13/2019
1323218,"GROCERY BEER, WINE PROD",122,AX,1,New York City,NASSAU,MABEG CORP,MEEKS CONVENIENCE,8 S PARK AVE,,ROCKVILLE CENTRE,NY,11570,,11/13/2019
1323223,FARM BREWER,106,FD,1,New York City,SUFFOLK,MORICHES FIELD BREWING COMPANY LLC,,1 WILCOX AVE,,CENTER MORICHES,NY,11934,,11/13/2019
3164189,ON-PREMISES LIQUOR,252,OP,3,Buffalo,MONROE,TIPICO HOUSE BAR & GRILL INC,,90 LAKE AVE,,ROCHESTER            ,NY,14608,,11/13/2019
2219566,DIRECT WINE SHIPMENT,308,WS,2,Albany,ALBANY,DONALD PATZ WINE GROUP LLC,MARITANA VINEYARDS,1200 AMERICAN WAY,,WINDSOR,CA,95492,917925,11/13/2019
1323224,ON-PREMISES LIQUOR,252,OP,1,New York City,NEW YORK,AMSTERDAM ALE HOUSE 588 LLC,THE UPSIDE BAR,588 AMSTERDAM AVE,,NEW YORK,NY,10024,,11/13/2019
3164191,ON-PREMISES LIQUOR,252,OP,3,Buffalo,MONROE,TCFL LLC,RUSSELL STATION BAR & GRILL,4670 DEWEY AVE,,ROCHESTER,NY,14612,,11/13/2019
1323228,RESTAURANT WINE,341,RW,1,New York City,NEW YORK,ATC III LLC,,43 HICKS ST,,BROOKLYN,NY,11201,,11/13/2019
1323232,CATERING ESTABLISHMENT,246,CT,1,New York City,NEW YORK,BARNARD COLLEGE,,3009 BROADWAY,,NEW YORK,NY,10027,,11/13/2019
2219569,RESTAURANT WINE,341,RW,2,Albany,WASHINGTON,NELSON FAMILY FARE INC,,22 MAIN ST,,GRANVILLE,NY,12832,,11/13/2019
2219577,FARM MEADERY,313,FY,2,Albany,ALBANY,"BULL AND BEE, LLC, THE",,140 HAMILTON ST,,ALBANY               ,NY,12207,,11/13/2019
2219578,ON-PREMISES LIQUOR,252,OP,2,Albany,ULSTER,AVE 147 LLC,THE AVENUE STEAK HOUSE,147 ULSTER AVE,,SAUGERTIES,NY,12477,,11/13/2019
1323239,ON-PREMISES LIQUOR,252,OP,1,New York City,NASSAU,BTW SPIRITS INC ,BTW ,3297 LONG BEACH RD ,,OCEANSIDE ,NY,11572,,11/13/2019
1323242,ON-PREMISES LIQUOR,252,OP,1,New York City,NEW YORK,28 WEST GROUP CORP ,MYKONOS BLUE ,127 W 28TH ST ,,NEW YORK ,NY,10001,,11/13/2019
1323243,ON-PREMISES LIQUOR,252,OP,1,New York City,NEW YORK,28 WEST GROUP CORP,MYKONOS BLUE ROOFTOP,127 W 28TH ST,,NEW YORK,NY,10001,,11/13/2019
2219580,DIRECT WINE SHIPMENT,308,WS,2,Albany,ALBANY,VIN DE ZO LLC,ALMA ROSA WINERY & VINEYARD,313 N 9TH ST,,LOMPOC,CA,93436,917973,11/13/2019
2219581,ON-PREMISES LIQUOR,252,OP,2,Albany,ULSTER,KINGSTON BREAD AND BAR INC,,43 N FRONT ST,,KINGSTON,NY,12401,,11/13/2019
1323244,WHOLESALE BEER(CO),105,CO,1,New York City,QUEENS,JO-LIN ENTERPRISE INC,,61-43 186TH ST,#308,FRESH MEADOWS,NY,11365,,11/13/2019
2219583,ON-PREMISES LIQUOR,252,OP,2,Albany,ORANGE,BARREL 28 LLC,BARREL 28 RESTAURANT,28 N MAIN ST,,FLORIDA,NY,10921,,11/13/2019
1323245,ON-PREMISES LIQUOR,252,OP,1,New York City,SUFFOLK,VABLE LLC ,WOW CAFE AMERICAN GRILL & WINGERY ,753 755 SUNRISE HWY ,SPACE 12 & 13,WEST BABYLON ,NY,11704,,11/13/2019
2219584,WHOLESALE BEER(CO),105,CO,2,Albany,ORANGE,PEPSI-COLA NEWBURGH BOTTLING CO INC,,1 PEPSI WAY,,NEWBURGH,NY,12550,,11/13/2019
1323247,RESTAURANT WINE,341,RW,1,New York City,KINGS,LA TUNA RESTAURANT INC,,557 KINGS HWY,,BROOKLYN,NY,11223,,11/13/2019
1323248,TAVERN WINE,344,TW,1,New York City,NEW YORK,BONSAI KAKIGORI LLC ,,100 STANTON ST ,STORE 4 ,NEW YORK ,NY,10002,,11/13/2019
1323249,RESTAURANT WINE,341,RW,1,New York City,NEW YORK,LA GUADALUPE RESTAURANT CORP,,179 E 115TH ST,,NEW YORK,NY,10029,,11/13/2019
3164202,ON-PREMISES LIQUOR,252,OP,3,Buffalo,ERIE,D PULEO & SONS INC,THE GROTTO ,60 62 NIAGARA ST,,BUFFALO              ,NY,14202,,11/13/2019
2219585,"GROCERY BEER, WINE PROD",122,AX,2,Albany,SARATOGA,LATHAM FOOD MART INC,YEMVILLE MINI MART,66 3RD ST,,WATERFORD,NY,12188,,11/13/2019
1323250,ON-PREMISES LIQUOR,252,OP,1,New York City,SUFFOLK,BEENZ LLC ,BEENZ INDIAN GRILL & BAR ,658 MOTOR PKWY ,,HAUPPAUGE ,NY,11788,,11/13/2019
2219586,ON-PREMISES LIQUOR,252,OP,2,Albany,DUTCHESS,PATSY'S PIZZERIA OF WAPPINGERSFALLS INC,PATSY'S PIZZERIA,2657 E MAIN ST,,WAPPINGERS FALLS ,NY,12590,,11/13/2019
2219588,"GROCERY BEER, WINE PROD",122,AX,2,Albany,ORANGE,KHUSHI MART INC,,3032 RT 6,,SLATE HILL,NY,10973,,11/13/2019
2219591,ON-PREMISES LIQUOR,252,OP,2,Albany,ULSTER,WALKING RILEY INCORPORATED,CREEKSIDE BAR AND BISTRO,1128 ROUTE 32,,ROSENDALE,NY,12472,,11/13/2019
2219593,LIQUOR STORE,222,L,2,Albany,DUTCHESS,RK GROUP WINE & LIQUOR LLC,ARLINGTON WINE & LIQUOR,718 DUTCHESS TPKE,,POUGHKEEPSIE,NY,12603,,11/14/2019
2219596,LIQUOR STORE,222,L,2,Albany,DUTCHESS,LIQUOR 360 INC,HUDSON PLAZA WINES & SPIRITS,2585 SOUTH RD,STORE 170,POUGHKEEPSIE,NY,12601,,11/14/2019
2219600,ON-PREMISES LIQUOR,252,OP,2,Albany,SULLIVAN,BK MANOR LLC,SMOKE JOINT CATSKILLS,630 OLD RTE 17,T/O ROCKLAND,LIVINGSTON MANOR,NY,12758,,11/14/2019
2219601,CATERING ESTABLISHMENT,246,CT,2,Albany,DUTCHESS,HIDDEN ROSE CATERING LLC,,33 CHELSEA RD,,WAPPINGERS FALLS,NY,12590,,11/14/2019
2219603,ON-PREMISES LIQUOR,252,OP,2,Albany,ORANGE,PINE BUSH DINER INC,CUP AND SAUCER,82 BONIFACE DR,,PINE BUSH,NY,12566,,11/14/2019
1323254,GROCERY STORE BEER,122,A,1,New York City,SUFFOLK,HUNTINGTON DELI NY INC,,1548 NEW YORK AVE,,HUNTINGTON STATION,NY,11746,,11/14/2019
1323257,GROCERY STORE BEER,122,A,1,New York City,NASSAU,LOS AMIGOS DELI BODEGA HISPANA CORP ,,156 158 MAIN ST ,,HEMPSTEAD ,NY,11550,,11/14/2019
2219605,DIRECT WINE SHIPMENT,308,WS,2,Albany,ALBANY,CERVANTES FAMILY VINEYARDS LLC,CERVANTES FAMILY VINEYARDS,620 TRANCAS ST,,NAPA,CA,94558,917926,11/14/2019
1323263,ON-PREMISES LIQUOR,252,OP,1,New York City,BRONX,ELITE LOUNGE CORP,,400 E 180TH ST,,BRONX,NY,10457,,11/14/2019
1323732,RESTAURANT WINE,341,RW,1,New York City,QUEENS,ELA TAVERNA ASTORIA CORP ,,26-19 23 AVE ,,ASTORIA ,NY,11105,,11/29/2019
2219606,ON-PREMISES LIQUOR,252,OP,2,Albany,ALBANY,TORO TABLE LLC,TORO,111 WOLF RD ,SPACE 2,ALBANY               ,NY,12205,,11/14/2019
1323270,ON-PREMISES LIQUOR,252,OP,1,New York City,NEW YORK,YIANNIS AND THE FISH INC,,5 E 54TH ST,,NEW YORK,NY,10022,,11/14/2019
2219611,ON-PREMISES LIQUOR,252,OP,2,Albany,DELAWARE,JORGE A RIVERA,CHESTNUT CAFE,11 W MAIN ST ,,HANCOCK,NY,13783,,11/14/2019
1323272,O.P. FOOD AND BEV,252,TL,1,New York City,BRONX,CHIPOTLE MEXICAN GRILL OF COLORADO LLC,CHIPOTLE MEXICAN GRILL #3426,35 WESTCHESTER SQ,,BRONX,NY,10461,,11/14/2019
2219615,RESTAURANT WINE,341,RW,2,Albany,ALBANY,"POKE BAR INC, THE ",,475 ALBANY SHAKER RD,STE 3 KIMBERLY SQUARE,LOUDONVILLE,NY,12211,,11/14/2019
1323273,LIQUOR STORE,222,L,1,New York City,KINGS,A & A LIQUOR STORE LLC,,5108 12TH AVE,,BROOKLYN,NY,11219,,11/14/2019
2219618,ON-PREMISES LIQUOR,252,OP,2,Albany,PUTNAM,LA PATRONA ROUTE 22 INC,LA PATRONA MEXICAN RESTAURANT & BAR,182 RTE 22,,BREWSTER,NY,10509,,11/14/2019
1323275,ON-PREMISES LIQUOR,252,OP,1,New York City,KINGS,COLLECTIVE ARTS BROOKLYN LIMITED ,COLLECTIVE ARTS BROOKLYN ,529 THIRD AVE ,,BROOKLYN ,NY,11215,,11/14/2019
1323276,RESTAURANT WINE,341,RW,1,New York City,NEW YORK,WILLIAMSBURG PIZZA 14TH STREET LLC,WILLIAMSBURG PIZZA,226 E 14TH ST,,NEW YORK,NY,10003,,11/14/2019
1323277,MICRO BREWER,101,MI,1,New York City,KINGS,COLLECTIVE ARTS BROOKLYN LIMITED LTD ,COLLECTIVE ARTS BROOKLYN LIMITED ,529 3RD AVE ,,BROOKLYN ,NY,11215,,11/14/2019
1323280,FARM BREWER,106,FD,1,New York City,KINGS,COLLECTIVE ARTS BROOKLYN LIMITED LTD ,COLLECTIVE ARTS BROOKLYN ,529 3RD AVE ,,BROOKLYN ,NY,11215,,11/14/2019
1323281,"GROCERY CHAIN, WINE PROD",128,AX,1,New York City,RICHMOND,TARGET CORPORATION,TARGET STORE T-3291,1520 FOREST AVE,,STATEN ISLAND,NY,10302,,11/14/2019
1323282,ON-PREMISES LIQUOR,252,OP,1,New York City,QUEENS,HARBOR BREEZE RESTAURANT AND LOUNGE INC,,107-12 101ST AVE,,OZONE PARK,NY,11416,,11/14/2019
1323283,ON-PREMISES LIQUOR,252,OP,1,New York City,KINGS,SOL SPORT BAR CAFE & GRILL LLC,,3220 FULTON ST,,BROOKLYN,NY,11208,,11/14/2019
1323284,GROCERY STORE BEER,122,A,1,New York City,QUEENS,DREAMER DELI & GROCERY INC,,9605 SPRINGFIELD BLVD,,QUEENS VILLAGE,NY,11429,,11/14/2019
1323287,LIQUOR STORE,222,L ,1,New York City,KINGS,YAAYIN LLC,,5108 12TH AVE,,BROOKLYN,NY,11219,,11/14/2019
1323288,RESTAURANT WINE,341,RW,1,New York City,NEW YORK,JMB HARLEM LLC,MUSETTE WINE BAR,420 LENOX AVE,AKA MALCOLM X BLVD,NEW YORK,NY,10037,,11/14/2019
3164208,ON-PREMISES LIQUOR,252,OP,3,Buffalo,MONROE,JINES RESTAURANT INC,JINES RESTAURANT,658 PARK AVE,,ROCHESTER            ,NY,14607,,11/14/2019
3164209,BOTTLE CLUB,255,BL,3,Buffalo,ERIE,HUMMINGBIRD HONEYS LLC,PAINTING WITH A TWIST,3735 UNION RD,SPACE 2,CHEEKTOWAGA,NY,14225,897352,11/14/2019
1323289,GROCERY STORE BEER,122,A,1,New York City,KINGS,EL PATIO 1 DELI GROCERY INC,,567 LEFFERTS AVE,,BROOKLYN,NY,11203,,11/14/2019
1323292,"GROCERY BEER, WINE PROD",122,AX,1,New York City,WESTCHESTER,465 J & J FOOD CORP,NEW ROCHELLE FARMS,465 NORTH AVE,,NEW ROCHELL,NY,10801,,11/14/2019
1323294,O.P. FOOD AND BEV,252,TL,1,New York City,KINGS,WTAERMARK RETIREMENT COMMUNITIES INC,THE WATERMARK AT BROOKLYN HEIGHTS,21 CLARK ST,AND BROOKLYN OPERATING COMPANY,BROOKLYN,NY,11201,,11/14/2019
1323298,"GROCERY BEER, WINE PROD",122,AX,1,New York City,BRONX,EL DUO DELI & GROCERY INC,,1960 BATHGATE AVE,,BRONX,NY,10457,,11/15/2019
1323299,"GROCERY BEER, WINE PROD",122,AX,1,New York City,NEW YORK,LA BODEGA INC,,51 VERMILYEA AVE ,,NEW YORK,NY,10034,,11/15/2019
1323304,"GROCERY BEER, WINE PROD",122,AX,1,New York City,KINGS,PURELY ORGANIC CORP,,1420 NOSTRAND AVE ,,BROOKLYN,NY,11226,,11/15/2019
1323305,IMPORTER,208,IL,1,New York City,WESTCHESTER,INTERNATIONAL SPIRITS & WINES LLC,,333 N BEDFORD RD,STE 140,MT KISCO,NY,10549,,11/15/2019
1323306,ON-PREMISES LIQUOR,252,OP,1,New York City,NEW YORK,17 JOHN STREET PROPERTY OWNER LLC &KOKUA CW II LLC,ASSEMBLAGE JOHN STREET,17 JOHN ST,,NEW YORK,NY,10038,,11/15/2019
1323308,FARM BREWER,106,FD,1,New York City,SUFFOLK,TRADEWINDS BREWING LLC,,70 W MAIN ST,,RIVERHEAD,NY,11901,,11/15/2019
1323309,MICRO BREWER,101,MI,1,New York City,SUFFOLK,TRADEWINDS BREWING LLC,,70 W MAIN ST,,RIVERHEAD,NY,11901,,11/15/2019
1323310,COMBINED CRAFT MANUFACTURER,110,CM,1,New York City,SUFFOLK,TRADEWINDS BREWING LLC,,70 W MAIN ST,,RIVERHEAD,NY,11901,,11/15/2019
1323311,RESTAURANT WINE,341,RW,1,New York City,QUEENS,MR THAI INC,,57-42 MYRTLE AVE,,RIDGEWOOD,NY,11385,,11/15/2019
2219632,"GROCERY BEER, WINE PROD",122,AX,2,Albany,ALBANY,JANNATUL MAWA INC,,167 QUAIL ST,,ALBANY               ,NY,12203,,11/15/2019
1323312,EATING PLACE BEER,141,EB,1,New York City,NASSAU,EL BROTHER DELI CORP,,18 MOTT AVE,,INWOOD,NY,11096,,11/15/2019
1323314,"GROCERY BEER, WINE PROD",122,AX,1,New York City,SUFFOLK,145 CORAM INC,,145 MIDDLE COUNTRY RD,,CORAM,NY,11727,,11/15/2019
1323316,ON-PREMISES LIQUOR,252,OP,1,New York City,KINGS,JFW LLC,,134 BROADWAY,,BROOKLYN,NY,11249,,11/15/2019
1323317,ON-PREMISES LIQUOR,252,OP,1,New York City,NEW YORK,NO 1 CALLE 191 PESCADERIA INC,NO 1 CALLE 191 PESCADERIA ,1609 ST NICHOLAS AVE,STORE 4,NEW YORK,NY,10040,,11/15/2019
1323319,ON-PREMISES LIQUOR,252,OP,1,New York City,KINGS,CAFETERIA DORUNTINA CORP,,144 AVENUE T,,BROOKLYN,NY,11223,,11/15/2019
2219634,"GROCERY BEER, WINE PROD",122,AX,2,Albany,HERKIMER,ADIRONDACK FOOD & FUEL INC,ADK FOOD & FUEL,1 COUNTRY MILE,,FRANKFORT,NY,13340,,11/15/2019
1323321,"GROCERY BEER, WINE PROD",122,AX,1,New York City,NEW YORK,YOUR DESIRE IN FOOD CORP,,226 E 7TH ST,,NEW YORK,NY,10009,,11/15/2019
1323327,ON-PREMISES LIQUOR,252,OP,1,New York City,NEW YORK,MEE TUNG LLC,LAND THAI KITCHEN,450 AMSTERDAM AVE,,NEW YORK,NY,10024,,11/15/2019
2219635,RESTAURANT WINE,341,RW,2,Albany,ORANGE,KINTON RAMEN WOODBURY COMMONS LLC,KINTON RAMEN,197 NIAGARA LN,AKA 498 RED APPLE CT UNIT 0197,CENTRAL VALLEY,NY,10917,,11/15/2019
1323330,"GROCERY BEER, WINE PROD",122,AX,1,New York City,BRONX,DARIEL GROCERY INC,,2085 VALENTINE AVE,,BRONX,NY,10457,,11/15/2019
1323332,ON-PREMISES LIQUOR,252,OP,1,New York City,NASSAU,LAS NINAS REST. INC,EL GUAPO TACOS & TEQUILA,52 E OLD COUNTRY RD,,MINEOLA,NY,11501,,11/15/2019
2219637,RESTAURANT WINE,341,RW,2,Albany,ALBANY,OHM CONCESSION GROUP LLC,WP PIZZA BY WOLFGANG PUCK,737 ALBANY SHAKER RD,ALBANY INTERNATIONAL AIRPORT,ALBANY,NY,12211,,11/15/2019
2219639,"GROCERY CHAIN, WINE PROD",128,AX,2,Albany,ROCKLAND,7 ELEVEN INC,7 ELEVEN STORE #36877J,44 S LIBERTY DR,,STONY POINT,NY,10980,,11/15/2019
1323334,GROCERY STORE BEER,122,A,1,New York City,KINGS,VICKIE'S GROCERY INC,,5124 6TH AVE,,BROOKLYN,NY,11220,,11/15/2019
1323337,"GROCERY BEER, WINE PROD",122,AX,1,New York City,QUEENS,J&J CARPE DIEM CORP,J & J MINI MARKET,102-05 A 32ND AVE,,EAST ELMHURST,NY,11369,,11/15/2019
1323339,ON-PREMISES LIQUOR,252,OP,1,New York City,NASSAU,REPUBLIC 668 CORP,REPUBLIK,668 FULTON AVE,,HEMPSTEAD,NY,11550,,11/15/2019
2219641,"DISTILLER ""A-1""",206,DA,2,Albany,OTSEGO,SAUVAGE BEVERAGES LLC,,107 WINNEY HILL RD,,ONEONTA,NY,13820,,11/15/2019
1323342,EATING PLACE BEER,141,EB,1,New York City,QUEENS,K B GRAND DELI CORP,,31-24 GREENPOINT AVE,,LONG ISLAND CITY,NY,11101,,11/15/2019
1323347,ON-PREMISES LIQUOR,252,OP,1,New York City,NEW YORK,TM RESTAURANT GROUP LLC,,279 CHURCH ST,,NEW YORK,NY,10013,,11/15/2019
1323348,RESTAURANT WINE,341,RW,1,New York City,BRONX,LA MADRINA CORP,,334 E GUN HILL RD,,BRONX,NY,10467,,11/15/2019
1323351,ON-PREMISES LIQUOR,252,OP,1,New York City,NEW YORK,RUMBA NYC BAR & GRILL CORP,RUMBA BAR & GRILL,185 AVENUE C ,STORE 3 & 4,NEW YORK,NY,10009,,11/15/2019
1323354,WINTER (O.P.) FOOD & BEV,515,ZL,1,New York City,QUEENS,FESTIVAL MEDIA LLC,THE WORLD'S FARE,41 SEAVER WAY,"CITIFIELD, PARKING LOTS D,E,F",FLUSHING,NY,11368,889653,11/15/2019
1323356,"GROCERY BEER, WINE PROD",122,AX,1,New York City,NEW YORK,YUMMY FOODS CENTER CORP,,2240 7TH AVE,,NEW YORK,NY,10027,,11/15/2019
1323357,"GROCERY BEER, WINE PROD",122,AX,1,New York City,SUFFOLK,EGE FOOD INC,ZARA DELI & GROCERY,375 377 BOYLE RD,,SELDEN,NY,11784,,11/15/2019
1323359,RESTAURANT WINE,341,RW,1,New York City,SUFFOLK,AVOCADOS BOHEMIA LLC,AVOCADOS MEXICAN-AMERICAN GRILL,1360 LAKELAND AVE,STE 3,BOHEMIA,NY,11716,,11/15/2019
1323360,RESTAURANT WINE,341,RW,1,New York City,QUEENS,MARKIE B'S CORP,,189-09 JAMAICA AVE,,HOLLIS,NY,11423,,11/15/2019
1323361,EATING PLACE BEER,141,EB,1,New York City,SUFFOLK,LOS PRIMITOS DELI & GROCERY INC,LOS PRIMITOS DELI & GROCERY,225 ALBANY AVE,,AMITYVILLE,NY,11701,,11/15/2019
1323363,LIQUOR STORE,222,L,1,New York City,SUFFOLK,NEW SUFFOLK LIQUOR INC,,26 MASTIC RD,,MASTIC BEACH,NY,11951,,11/15/2019
1323364,HOTEL LIQUOR,242,HL,1,New York City,NEW YORK,17 W 32 ST OWNER LLC; REPUBLIC ENTERPRISES LLC,THE HOTEL AT FIFTH AVE; LAQUINTA MANHATTAN,17 W 32ND ST,& MIDTOWN HOSPITALITY LLC,NEW YORK,NY,10001,,11/15/2019
1323368,ON-PREMISES LIQUOR,252,OP,1,New York City,SUFFOLK,RACHELS OF FIRE ISLAND LLC,RACHEL'S,325 BAY WALK,,OCEAN BEACH,NY,11770,,11/15/2019
1323369,ON-PREMISES LIQUOR,252,OP,1,New York City,NASSAU,JVA 503 CORP,BOQUITAS BAR & RESTAURANT,84 MAIN ST,,HEMPSTEAD,NY,11550,,11/18/2019
1323370,LIQUOR STORE,222,L,1,New York City,NEW YORK,MELOVER INC,,254 E 125TH ST,,NEW YORK,NY,10035,,11/18/2019
1323373,"GROCERY BEER, WINE PROD",122,AX,1,New York City,SUFFOLK,RYAN GAS BAY SHORE CORP,SHAMROCK,645 E MONTAUK HWY,,BAY SHORE,NY,11706,,11/18/2019
1323376,LIQUOR STORE,222,L,1,New York City,NEW YORK,A R LIQUORS CORP,POUR,321 AMSTERDAM AVE,,NEW YORK,NY,10023,,11/18/2019
1323378,GROCERY STORE BEER,122,A,1,New York City,WESTCHESTER,YONKERS CANDY VIP CORP,,1045 YONKERS AVE,,YONKERS              ,NY,10704,,11/18/2019
3164256,LIQUOR STORE,222,L,3,Buffalo,MONROE,ON THE ROCKS LIQUOR AND WINE INCORPORATED,ON THE ROCKS LIQUOR AND WINE,1322 DEWEY AVE,,ROCHESTER            ,NY,14613,,11/18/2019
3164258,CATERING ESTABLISHMENT,246,CT,3,Buffalo,CATTARAUGUS,ARAMARK EDUCATIONAL SERVICES LLC,,3261 W STATE RD,DOYLE HALL,ST BONAVENTURE,NY,14778,,11/18/2019
1323383,"GROCERY BEER, WINE PROD",122,AX,1,New York City,RICHMOND,7 DAYS FOOD MART CORP,,192 PORT RICHMOND AVE,,STATEN ISLAND,NY,10302,,11/18/2019
1323386,"GROCERY BEER, WINE PROD",122,AX,1,New York City,KINGS,DELI FRANKLIN CORP,,316 FRANKLIN AVE,,BROOKLYN,NY,11238,,11/18/2019
1323389,"GROCERY BEER, WINE PROD",122,AX,1,New York City,QUEENS,BHAKTI 2034 INC,STOP & GO DELI & CONVENIENCE ,100-01 METROPOLITAN AVE ,,FOREST HILLS,NY,11375,,11/18/2019
1323394,"GROCERY BEER, WINE PROD",122,AX,1,New York City,BRONX,BEATO DELI & GROCERY CORP,,615 E 189TH ST ,,BRONX,NY,10458,,11/18/2019
1323397,ON-PREMISES LIQUOR,252,OP,1,New York City,KINGS,KOKOMO RESTAURANT LLC,,65 KENT AVE,,BROOKLYN,NY,11249,,11/18/2019
1323398,ON-PREMISES LIQUOR,252,OP,1,New York City,NEW YORK,1555 OPERATING GROUP LLC,AUNT JAKE'S,1555 2ND AVE,,NEW YORK,NY,10028,,11/18/2019
1323399,ON-PREMISES LIQUOR,252,OP,1,New York City,NEW YORK,TE PARLOR LLC,,32 JONES ST,AKA 277 BLEECKER ST,NEW YORK,NY,10014,,11/18/2019
1323400,TAVERN WINE,344,TW,1,New York City,KINGS,UNION PIZZA LLC,UNION STREET PIZZA,226 4TH AVE,,BROOKLYN,NY,11215,,11/18/2019
2219649,RESTAURANT WINE,341,RW,2,Albany,OSWEGO,TAVERN ON THE LOCK INC,,24 S 1ST ST,,FULTON,NY,13069,,11/19/2019
2219650,LIQUOR STORE,222,L,2,Albany,SULLIVAN,BHOLA LIQUOR CORP,ROCK HILL LIQUORS,184 ROCK HILL DR,,ROCK HILL,NY,12775,,11/19/2019
